"","lat","lon","sample_name","qc_filtered","observations_deblur_100bp","ph","study_id","elevation_m","sample_scientific_name","env_biome","env_feature","env_material","envo_biome_0","envo_biome_1","envo_biome_2","envo_biome_3","envo_biome_4","adiv_observed_otus","adiv_chao1","adiv_shannon","adiv_faith_pd","unique_id","subtype","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","value"
"1",43.63,-80.39,"632.Agricultural.soil.soy",TRUE,249503,7.6,"study 632",370,"soil metagenome","cropland biome","agricultural feature","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",1019,1879.54385964912,8.24958708831794,84.7866548342442,"soil 43.63 -80.39 study 632","agricultural land",27768,606,1340.22105263158,5.51652797908325,5.51652797908325
"2",43.64,-80.41,"632.Agricultural.soil.wheat",TRUE,71912,7.4,"study 632",374,"soil metagenome","cropland biome","agricultural feature","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",1090,1913.8125,8.6884373193441,89.1588345009411,"soil 43.64 -80.41 study 632","agricultural land",29282,694,1388.29411764706,5.85333958946624,5.85333958946624
"3",-40.017,175.267,"659.NZFACE.R1.Browntop",TRUE,237129,5.05,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",434,656.961538461538,4.92406774571803,37.599963195081,"soil -40.017 175.267 study 659","agricultural land",26657,278,500,3.31666178832217,3.31666178832217
"4",-40.017,175.267,"659.NZFACE.R1.control.19.4",TRUE,77646,6,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",690,1244.21052631579,6.2203157752363,55.84219631432,"soil -40.017 175.267 study 659","agricultural land",26657,451,857.721518987342,4.19612365487621,4.19612365487621
"5",-40.017,175.267,"659.NZFACE.R1.Ryegrass.26.4",TRUE,86024,5.62,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",596,961.85,6.39688590276063,48.809618532372,"soil -40.017 175.267 study 659","agricultural land",26657,399,880,4.33314988334447,4.33314988334447
"6",-40.017,175.267,"659.NZFACE.R1.warm",TRUE,69410,NA,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",648,1137.65346534653,5.76747092295406,54.436076142226,"soil -40.017 175.267 study 659","agricultural land",26657,404,862.25,3.85437013384473,3.85437013384473
"7",-40.017,175.267,"659.NZFACE.R2.Browntop",TRUE,71647,5.25,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",725,1155.69105691057,7.14595109666187,64.302952156204,"soil -40.017 175.267 study 659","agricultural land",26657,434,819.016129032258,4.79690716082816,4.79690716082816
"8",-40.017,175.267,"659.NZFACE.R2.control.23.4",TRUE,51909,5.8,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",681,1194.08547008547,5.78366446336922,55.657950655961,"soil -40.017 175.267 study 659","agricultural land",26657,408,719.666666666667,3.87681146959893,3.87681146959893
"9",-40.017,175.267,"659.NZFACE.R2.Ryegrass.24.4",TRUE,69272,5.68,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",673,1263.34482758621,6.88562120072654,53.915363876311,"soil -40.017 175.267 study 659","agricultural land",26657,444,934.016129032258,4.63696378067935,4.63696378067935
"10",-40.017,175.267,"659.NZFACE.R3.Browntop",TRUE,70471,5.45,"study 659",15,"soil metagenome","cropland biome","pasture","soil","biome","terrestrial biome","anthropogenic terrestrial biome","cropland biome","",620,1128.36559139785,6.2572055565903,50.48058856098,"soil -40.017 175.267 study 659","agricultural land",26657,387,693.014492753623,4.22972263368891,4.22972263368891
